epoch,train_avg_loss,train_avg_top1,train_avg_top5,alpha_videomae,alpha_timesformer,alpha_vivit,eval_top1,eval_top5
1,1.998,66.18,89.94,0.88,0.78,0.485,2.613318260120586,10.0
2,1.41,68.95,92.05,0.92,0.81,0.348979591838,5.74537037037037,39.492317460317466
3,1.264,72.32,93.27,0.98,0.85,0.27744897959183673,5.965439276485788,40.531555555555556
4,1.166,73.45,94.55,1.0,0.91,0.1736734693877551,9.734119293712318,43.208380952380956
5,1.126,74.29,94.71,1.0,1.0,0.16989795918367345,10.07208225667528,46.4048253968254
6,1.053,75.36,94.72,1.0,1.0,0.16612244897959183,14.536337209302328,47.60152380952381
7,0.991,75.65,94.93,1.0,1.0,0.1623469387755102,13.683570198105082,48.96355555555556
8,0.92,77.05,96.23,1.0,1.0,0.15857142857142856,13.483150301464256,48.522666666666666
9,0.946,76.63,95.55,1.0,1.0,0.15479591836734694,13.60497416020672,52.08126984126984
10,0.913,76.9,95.63,1.0,1.0,0.15102040816326529,14.583494832041344,52.48279365079365
11,0.844,77.99,96.49,1.0,1.0,0.14724489795918366,14.740686907838072,54.00228571428571
12,0.829,78.37,96.61,1.0,1.0,0.14346938775510204,14.54419681309216,52.718984126984125
13,0.807,79.25,96.85,1.0,1.0,0.13969387755102042,14.681739879414298,54.23847619047619
14,0.777,79.5,97.03,1.0,1.0,0.13591836734693877,14.823212747631352,55.99415873015872
15,0.783,79.43,96.67,1.0,1.0,0.13214285714285715,15.620962532299743,57.277460317460324
16,0.779,79.82,96.73,1.0,1.0,0.1283673469387755,15.019702842377262,57.9151746031746
17,0.755,80.12,96.83,1.0,1.0,0.12459183673469387,15.279069767441861,59.67085714285714
18,0.744,80.21,96.97,1.0,1.0,0.12081632653061224,15.899978466838933,59.39530158730159
19,0.751,79.86,97.0,1.0,1.0,0.1170408163265306,15.420542635658915,59.19060317460317
20,0.733,80.33,97.05,1.0,1.0,0.11326530612244898,15.440191645133506,58.39542857142858
21,0.73,80.46,97.02,1.0,1.0,0.10948979591836734,18.10459732988803,60.788825396825395
22,0.713,80.48,97.13,1.0,1.0,0.1057142857142857,18.635120585701983,60.47390476190475
23,0.685,81.67,97.43,1.0,1.0,0.10193877551020408,19.487887596899228,60.47390476190475
24,0.664,82.25,97.52,1.0,1.0,0.09816326530612245,20.265988372093023,62.95390476190476
25,0.653,82.4,97.49,1.0,1.0,0.09438775510204081,20.70219638242894,66.78019047619048
26,0.616,83.16,97.82,1.0,1.0,0.09061224489795917,23.03256890611542,68.14222222222222
27,0.595,83.77,97.99,1.0,1.0,0.08683673469387754,25.001399655469424,69.5751111111111
28,0.581,83.96,98.01,1.0,1.0,0.08306122448979592,26.262866063738155,70.12622222222222
29,0.568,84.31,97.95,1.0,1.0,0.07928571428571428,26.966300602928513,70.18133333333333
30,0.559,84.4,98.15,1.0,1.0,0.07551020408163264,28.12559216192937,69.96876190476189
31,0.557,84.49,98.04,1.0,1.0,0.07173469387755102,28.581449181739885,70.02387301587302
32,0.549,84.73,98.24,1.0,1.0,0.06795918367346938,30.043335486649443,65.26857142857142
33,0.525,85.22,98.21,1.0,1.0,0.06418367346938775,30.62887596899225,65.70946031746031
34,0.523,85.2,98.31,1.0,1.0,0.06040816326530611,31.021856158484066,65.86692063492063
35,0.508,85.53,98.34,1.0,1.0,0.056632653061224475,32.00430663221361,71.24419047619047
36,0.49,86.31,98.41,1.0,1.0,0.05285714285714285,32.495531869078384,71.22057142857142
37,0.489,86.17,98.45,1.0,1.0,0.0490816326530612,32.82956503014643,71.7008253968254
38,0.478,86.61,98.56,1.0,1.0,0.04530612244897958,32.73524978466839,71.10247619047618
39,0.482,86.58,98.42,1.0,1.0,0.04153061224489796,32.90423126614987,71.49612698412697
40,0.481,86.6,98.48,1.0,1.0,0.03775510204081631,33.39938630490956,71.13396825396826
41,0.486,86.34,98.54,1.0,1.0,0.033979591836734685,34.4879414298019,71.10247619047618
42,0.476,86.81,98.5,1.0,1.0,0.030204081632653063,34.71586993970715,71.43314285714285
43,0.463,86.68,98.64,1.0,1.0,0.026428571428571412,35.332848837209305,71.18120634920635
44,0.452,87.38,98.72,1.0,1.0,0.02265306122448979,35.25425279931094,71.28355555555555
45,0.452,87.37,98.72,1.0,1.0,0.018877551020408168,35.053832902670116,71.53549206349206
46,0.442,87.45,98.83,1.0,1.0,0.015102040816326517,35.09313092161929,71.55123809523809
47,0.434,87.79,98.81,1.0,1.0,0.011326530612244895,35.37214685615849,71.62996825396826
48,0.432,88.03,98.76,1.0,1.0,0.007551020408163245,35.85944229112834,71.43314285714285
49,0.417,88.29,98.88,1.0,1.0,0.0037755102040816224,36.409614556416884,71.58273015873016
50,0.421,88.15,98.83,1.0,1.0,0.0,36.5,72.0
